,log2FoldChange,padj
100287102,-0.131750410930437,0.874965930571127
653635,-0.538949312183726,0.000782555173249386
102466751,-0.928721398824478,0.0141647015221824
107985730,0.143878165584057,0.97863559374197
100302278,0.171414059331145,0.97634506040531
645520,0.0826397135782837,0.987872286939146
100996442,0.0537409928167213,0.97618310510253
729737,-0.636455175547379,0.1794878550078
102725121,-0.26265358286364,0.781068718378997
102723897,-0.577065375285597,0.0013118149712968
102465909,-1.12747829920413,0.000506519785891025
107985721,0.144324677278243,0.978204050897432
112268260,0.258960400202975,0.699802450676032
729759,0.134836142299831,NA
100132287,-0.481053727303479,0.235578740781062
105378947,0.404457190609045,0.488119580222757
101928626,-0.0310319406894273,NA
113219467,2.00821455768031,1.77943291345859E-10
81399,0.548968057620188,0.074788908273511
100133331,-0.393690436931879,0.383870043647624
107984841,0.195902923263079,0.891417015398023
107984847,0.301655563335175,0.847126225480681
107984849,-0.0338892915706764,0.990547753726829
100288069,0.0786229581607094,0.95844539985798
105378580,-0.241653794806647,0.89740211391135
400728,-0.276995860376798,0.503261875495831
79854,-1.06267284789521,5.9258960212856E-05
643837,0.334112010115895,0.398237773487318
107984850,1.26773661217383,0.299831721091632
284593,-0.0656419778353751,0.977396760197013
284600,-0.922114159198397,0.243879083707785
100130417,-2.21967378106283,8.94762072035723E-07
107985728,-1.58186219247753,0.000628055889782456
148398,-0.751931501684468,0.301612752697369
26155,-0.14401445555263,0.575495424595503
339451,-0.67631615258102,0.00853015500979995
84069,0.222719437950375,0.922343096528709
84808,1.08989466474641,0.465394556507882
57801,-0.204950096650522,0.864787360064635
9636,-0.71304171154756,0.628563700486672
375790,-0.240669410529576,0.734690792142704
100288175,-0.721875281578719,0.0661755447655237
112267874,-0.893862659135778,0.115584669231386
105378948,-1.09304456973426,0.000784949633177633
401934,-0.537354928532843,NA
54991,-0.774048916304605,8.70174118836092E-13
254099,-0.0254789051902457,NA
100506376,0.304748218685882,NA
254173,0.0404019679916473,0.993547873332347
8784,-0.939140046011093,0.538829164823651
7293,-0.678859927322918,0.699594776563476
51150,-0.0779561160107666,0.948131497324904
126792,0.18921628147858,0.618113133048047
388581,-1.03031479087226,0.0761899629626243
118424,-0.046158425400068,0.894310176783806
101928895,-1.03492539194476,0.00149128087804088
6339,-1.4948038208705,1.10588960667174E-05
116983,-0.596150621406901,0.472729417429561
102465434,-0.829704342741885,0.344850329290104
109623456,-1.15926307004614,0.0529616652930515
126789,-0.356219666527791,0.0137837240110929
54973,-0.171212757064056,0.230819167625475
102465435,-0.398212644771553,0.609332050415108
80772,0.133568308129504,0.389005201692924
83756,-0.344876756289221,0.396257630869861
1855,-0.366765192598693,0.0172319589553855
102466740,-1.00582817734321,0.0513266780854846
54587,-0.151379242150621,0.971170936273741
54998,0.0245279633435273,0.970936447547476
